rank,country,region,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,dystopia,population,year,sqrt_of_population,posx
139,Congo (Brazzaville),Sub-Saharan Africa,3.989,0.67866,0.6629,0.31051,0.41466000000000003,0.12387999999999999,0.11685999999999999,1.68135,4860000.0,2015,2204.5407685048604,12.995517
140,Comoros,Sub-Saharan Africa,3.9560000000000004,0.23906,0.79273,0.36315,0.22916999999999998,0.17440999999999998,0.19899999999999998,1.95812,777000.0,2015,881.4760348415605,
141,Uganda,Sub-Saharan Africa,3.931,0.21101999999999999,1.13299,0.33860999999999997,0.45726999999999995,0.29066,0.07267,1.42766,38200000.0,2015,6180.614856144977,31.86617
142,Senegal,Sub-Saharan Africa,3.904,0.36498,0.97619,0.4354,0.36772,0.20843000000000003,0.10712999999999999,1.44395,14600000.0,2015,3820.99463490856,-16.713729
143,Gabon,Sub-Saharan Africa,3.8960000000000004,1.06024,0.90528,0.43372,0.31914000000000003,0.06822,0.11091,0.99895,1950000.0,2015,1396.4240043768941,11.093773
144,Niger,Sub-Saharan Africa,3.845,0.0694,0.77265,0.29707,0.47691999999999996,0.19387000000000001,0.15639,1.87877,20000000.0,2015,4472.13595499958,2.154474
145,Cambodia,Southeastern Asia,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,0.98195,15500000.0,2015,3937.0039370059053,103.49728
146,Tanzania,Sub-Saharan Africa,3.781,0.2852,1.00268,0.38215,0.32878,0.34376999999999996,0.05747000000000001,1.38079,51500000.0,2015,7176.350047203662,
147,Madagascar,Sub-Saharan Africa,3.681,0.20824,0.66801,0.46721,0.19184,0.21333000000000002,0.08123999999999999,1.851,24200000.0,2015,4919.349550499537,49.543519
148,Central African Republic,Sub-Saharan Africa,3.678,0.0785,0.0,0.06699,0.48878999999999995,0.23835,0.08288999999999999,2.7223,4490000.0,2015,2118.962010041709,15.27946
149,Chad,Sub-Saharan Africa,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,1.9429599999999998,14100000.0,2015,3754.9966711037173,14.495787
