,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,year,social_support
10,11,Israel,Middle East and Northern Africa,7.267,73.32576865,78.25003892,55.94686485,38.05771704,16.40102603,2016,63.88067878
11,12,Austria,Western Europe,7.119,79.50467858,74.23972096,83.47035133,38.73782429,40.11561685,2016,69.55784893
12,13,United States,North America,7.104,82.66100961,71.7839541,73.96159563,48.41727089,27.93886975,2016,67.24680555
13,14,Costa Rica,Latin America and Caribbean,7.087,58.58727053,70.16766329,84.80636836,26.58311734,19.81915921,2016,65.55892883
15,16,Germany,Western Europe,6.994,79.3670893,75.08933336,82.10515691,35.89363228,53.65097322,2016,70.45056243
16,17,Brazil,Latin America and Caribbean,6.952,59.61507891,56.5932162,62.07872233,18.59509861,26.61972213,2016,66.70514473
17,18,Belgium,Western Europe,6.929,78.13481556,75.52427593,78.8618604,28.57157647,49.32334227,2016,67.54651598
18,19,Ireland,Western Europe,6.907,81.31526582,75.05984572,82.93748016,52.99768121,55.91156377,2016,74.54703282
19,20,Luxembourg,Western Europe,6.871,93.05201532,77.90448074,84.26121197,32.49781084,66.38770035,2016,66.7442932
20,21,Mexico,Latin America and Caribbean,6.778,61.12472386,65.55745631,57.90789215,13.8319905,34.49138781,2016,45.86147167
21,22,Singapore,Southeastern Asia,6.739,90.20320456,87.28246918,74.89373625,38.55041172,88.29457038,2016,55.6793949
22,23,United Kingdom,Western Europe,6.725,76.89815651,74.63227507,76.83787138,59.11864643,51.48621817,2016,69.74332283
23,24,Chile,Latin America and Caribbean,6.705,66.69517121,75.45424281,58.03074429,37.24088113,21.5178906,2016,58.1367637
24,25,Panama,Latin America and Caribbean,6.701,64.85114593,65.27363787,75.13483358,28.50085474,15.8278921,2016,63.47956739
25,26,Argentina,Latin America and Caribbean,6.65,63.11401272,64.23788478,64.93349896,12.95268374,13.71011525,2016,68.4212597
26,27,Czech Republic,Central and Eastern Europe,6.596,71.76295176,70.37960564,63.60362453,11.70326662,7.49020277,2016,64.68675223
27,28,United Arab Emirates,Middle East and Northern Africa,6.573,86.25477587,67.26221004,86.3266636,31.34268934,66.82365797,2016,55.90786794
28,29,Uruguay,Latin America and Caribbean,6.545,64.76946942,66.51580435,83.52102782,21.28252411,40.20205671,2016,66.19493105
29,30,Malta,Western Europe,6.488,71.69004588,74.00934884,84.45163279,66.28629315,32.98620658,2016,70.51794914
30,31,Colombia,Latin America and Caribbean,6.481,56.47848179,54.97508238,68.6973814,18.41829431,10.14541012,2016,65.56983906
31,32,France,Western Europe,6.478,76.46236576,77.21612881,71.50301716,14.33293605,33.463505,2016,64.50384543
32,33,Thailand,Southeastern Asia,6.474,59.71155584,59.81842594,76.09615159,69.18470512,5.3235686,2016,67.05106319
33,34,Saudi Arabia,Middle East and Northern Africa,6.379,81.65074249,54.61385889,58.20734424,18.21909477,56.38886219,2016,54.44140471
35,36,Qatar,Middle East and Northern Africa,6.375,100,66.09191965,87.03920601,38.17558658,90.29020393,2016,56.45337943
36,37,Spain,Western Europe,6.361,73.59272475,80.99515316,57.65604526,20.82165422,11.53220632,2016,72.48564117
37,38,Algeria,Middle East and Northern Africa,6.355,57.70308122,56.95167523,32.25790084,8.30273039,30.36106526,2016,53.46590181
38,39,Guatemala,Latin America and Caribbean,6.324,45.74651778,49.79631702,77.36459994,33.95585704,16.35028959,2016,55.91107683
39,40,Suriname,Latin America and Caribbean,6.269,60.1259682,46.93417374,80.21323393,19.64295882,23.84988799,2016,49.97270296
40,41,Kuwait,Middle East and Northern Africa,6.239,88.64586929,58.57810242,66.2879438,18.81787204,44.47707208,2016,56.32117312
41,42,Bahrain,Middle East and Northern Africa,6.218,78.94883981,60.53810846,72.75150205,20.21109,48.42887751,2016,60.58193873
42,43,Trinidad and Tobago,Latin America and Caribbean,6.168,72.67126028,48.47766697,74.40693465,37.64163757,2.3319974,2016,63.25943746
43,44,Venezuela,Latin America and Caribbean,6.084,62.14376162,57.04382407,30.47808045,5.009455445,15.60427591,2016,66.29697378
44,45,Slovakia,Central and Eastern Europe,6.078,70.15025188,64.84238124,35.92043027,16.30960824,5.537789152,2016,69.48404443
45,46,El Salvador,Latin America and Caribbean,6.068,47.89312986,54.92071457,57.23220539,10.46327906,19.94318163,2016,51.96799144
46,47,Malaysia,Southeastern Asia,6.005,68.59839825,57.46955177,59.93802378,48.88521298,17.06435809,2016,56.4925279
47,48,Nicaragua,Latin America and Caribbean,5.992,38.03384368,60.09302952,71.53373019,35.09329811,30.61474749,2016,57.45262812
48,49,Uzbekistan,Central and Eastern Europe,5.987,40.33997161,46.2246276,93.44133819,40.45989825,53.24132339,2016,74.96611399
49,50,Italy,Western Europe,5.977,74.27354503,78.42051428,28.91171565,19.66535403,4.803050244,2016,66.85211195
50,51,Ecuador,Latin America and Caribbean,5.976,53.33969204,63.22609042,61.84069631,11.87417745,33.89382523,2016,55.17624077
51,52,Belize,Latin America and Caribbean,5.956,48.02797832,41.99130942,78.67297523,27.91622183,20.2400838,2016,44.06128376
52,53,Japan,Eastern Asia,5.921,75.65053418,84.3079043,71.80861186,12.05098176,35.67523823,2016,68.06314745
53,54,Kazakhstan,Central and Eastern Europe,5.919,67.39298459,52.88053904,62.22460924,17.69339663,20.91844887,2016,61.31805835
54,55,Moldova,Central and Eastern Europe,5.897,37.92037364,48.20214193,38.70149561,23.57037189,3.575979897,2016,53.35230707
55,56,Russia,Central and Eastern Europe,5.856,67.54921145,54.35952809,50.18817077,3.224910611,6.738551712,2016,67.55421732
56,57,Poland,Central and Eastern Europe,5.835,68.29307065,63.63615279,69.39610296,17.02389764,10.33520201,2016,67.18455306
57,57,South Korea,Eastern Asia,5.835,74.52186353,81.68534804,38.64928344,22.18776218,14.49934886,2016,46.33253689
58,59,Bolivia,Latin America and Caribbean,5.822,43.53631862,43.28231483,78.25834926,25.57533276,14.55572269,2016,53.76753758
59,60,Lithuania,Central and Eastern Europe,5.813,69.57303469,59.59634722,29.06835214,2.386858182,3.420012303,2016,68.29226227
60,61,Belarus,Central and Eastern Europe,5.802,61.97657145,58.14961027,44.6736453,16.43337126,32.80393119,2016,67.38222076
62,63,Slovenia,Central and Eastern Europe,5.768,71.23232854,72.93673623,81.64139007,30.33726218,6.830628967,2016,67.78012325
63,64,Peru,Latin America and Caribbean,5.743,54.59827766,58.04824654,57.59001223,17.12290805,9.944343466,2016,52.14768935
64,65,Turkmenistan,Central and Eastern Europe,5.658,59.21108168,40.5510229,57.44566098,26.59961906,53.49312649,2016,66.62748957
65,66,Mauritius,Sub-Saharan Africa,5.648,62.6946669,60.99240229,70.86265039,43.55397368,9.777101106,2016,48.57940244
66,67,Libya,Middle East and Northern Africa,5.615,58.4825711,48.19753448,62.45802832,20.14036828,19.42830066,2016,61.01770614
67,68,Latvia,Central and Eastern Europe,5.56,66.75985462,58.93103251,42.99210663,20.56234123,16.70544471,2016,60.98497545
68,69,Cyprus,Western Europe,5.546,72.27932269,78.21594384,45.31247644,32.8926738,9.824079297,2016,45.37179489
